user_id,first_name,last_name,email,signup_date,first_transaction_date,account_status,country,phone,Unnamed: 9
,Daniel,Miller,,2024-01-04,2024-01-04,suspended,Germany,,
BC_0002,Steven,Gonzalez,steven.gonzalez@outlook.com,2024-02-20,2024-02-24,active,CA,5553263516.0,
BC_0003,Sarah,Gonzalez,sarah.gonzalez@outlook.com,2024-05-09,2024-05-19,active,Canada,5559044100.0,
BC_0004,Michelle,Garcia,michelle.garcia@company.com,2024-02-21,2024-02-26,active,GB,5558201892.0,
BC_0005,Steven,Jones,steven.jones@aol.com,2024-04-19,2024-04-22,active,CA,5555836557.0,
BC_0006,Rachel,Johnson,rachel.johnson@gmail.com,2024-04-27,2024-05-07,active,US,5556742311.0,
BC_0007,Ashley,Garcia,ashley.garcia@hotmail.com,2024-01-18,2024-01-24,active,UK,5553482945.0,
BC_0008,Jessica,Rodriguez,jessica.rodriguez@company.com,2024-05-25,2024-06-02,active,United States,5558391027.0,
BC_0009,Nicole,Taylor,nicole.taylor@protonmail.com,2024-05-16,2024-05-21,active,DE,,
BC_0010,Samantha,Garcia,samantha.garcia@gmail.com,2024-01-25,2024-01-31,active,France,5555291847.0,
BC_0011,Mark,Johnson,mark.johnson@company.com,2024-03-04,2024-03-07,limited,USA,5557849302.0,
BC_0012,Rachel,Rodriguez,rachel.rodriguez@yahoo.com,2024-04-16,2024-04-23,active,Canada,5552638947.0,
BC_0013,Ashley,Garcia,ashley.garcia@hotmail.com,2024-01-02,2024-01-13,pending_verification,Germany,5556847291.0,
BC_0014,Michelle,Lopez,michelle.lopez@outlook.com,2024-01-09,2024-01-17,active,UK,5554729183.0,
BC_0015,Stephanie,Johnson,stephanie.johnson@icloud.com,2024-05-31,2024-06-12,active,United Kingdom,5558374629.0,
BC_0016,Kevin,Brown,kevin.brown@gmail.com,2024-05-14,2024-05-22,active,US,5553847291.0,
BC_0017,Ashley,Davis,,2024-01-08,,suspended,CA,,
BC_0018,Samantha,Wilson,samantha.wilson@company.com,2024-02-03,2024-02-09,active,USA,5557392845.0,
BC_0019,Sarah,Johnson,sarah.johnson@hotmail.com,2024-04-20,2024-04-28,suspended,Germany,5554728391.0,
BC_0020,Jessica,Garcia,jessica.garcia@protonmail.com,2024-03-15,2024-03-23,active,France,5556283947.0,
BC_0021,Nicole,Brown,nicole.brown@aol.com,2024-01-22,2024-01-29,active,UK,5558374629.0,
BC_0022,Ashley,Rodriguez,ashley.rodriguez@yahoo.com,2024-05-07,2024-05-14,limited,United States,5553847291.0,
